,Los Angeles,San Francisco,San Diego,Las Vegas,Phoenix,Seattle,Denver,Miami,New York,Chicago,Boston,Washington DC
1987-01-01,,,,,,,,,,,,
1987-02-01,0.007886022038930296,0.007387423173049301,0.007683435553839102,0.01739310964971863,,,-0.003725049146174886,0.005415396495743741,0.018281673245605257,0.01883161190842797,0.005318357438013788,0.011211196183283478
1987-03-01,0.008451681940988998,0.01136379987055225,0.004938588159811408,0.00408341320135186,,,0.004445925817538887,0.006804107660070446,0.015693456708928633,-0.007536856456468732,0.00574874901662259,0.013288672203467078
1987-04-01,0.015285498263775787,0.0030067753461631153,0.010127903960897022,0.0049510956911695825,,,0.007168018113603791,0.0010867707825334971,0.013522671051991342,-0.00016578255073251835,0.005134616373427159,0.009710641569200762
1987-05-01,0.011522030657086235,0.006689876659248251,0.007356322104329793,-0.003798034683774265,,,0.0003726571320872285,0.004071512651622644,0.017805014465165803,0.012326547168874491,0.006597521265264472,0.012094937516268223
1987-06-01,0.012020604214977748,0.006225469958119012,0.005764165905954632,-0.016601575079012942,,,-0.00652442582838797,-0.003907320360305833,0.014615201312466297,0.010496163043953288,0.0057485456539572155,0.015897430221806008
1987-07-01,0.01082483336355633,0.009850245201799224,0.005078590277191708,-0.015515909564673636,,,-0.0045286830303794545,0.00241682900937068,0.010579756280728159,0.01872287179993415,0.0044958625353315185,0.01270112302292703
1987-08-01,0.010629602403871452,0.00933136969549686,0.005331336072053938,-0.011115140152377245,,,-0.0016477054314617545,0.0023413161110665826,0.006426226061798435,0.008804910647681297,0.007462740550014724,0.012499250626474945
1987-09-01,0.011897659875360622,0.014102931977000077,0.008070435975970014,0.003766833158663996,,,-0.001255762234955382,0.010931053231142851,0.0019936496825245786,0.011423943054740038,0.008008114746853146,0.01624495951124527
1987-10-01,0.013529482430145734,0.014956033135702151,0.007820353062336416,0.003596591742476285,,,0.0017539048879642305,0.006411858215686683,0.009375975562164296,0.012630963337642909,0.0034954853175825917,0.012919127077161363
1987-11-01,0.014306319450607674,0.012716180933505683,0.010388209295527862,0.015547235569504547,,,-0.008225531219196336,0.005698505435465906,0.006264402968152005,0.01196666509965949,0.0055598750903389504,0.01162274106888983
