,Los Angeles,San Francisco,San Diego,Las Vegas,Phoenix,Seattle,Denver,Miami,New York,Chicago,Boston,Washington DC
1987-01-01,59.426224372887,46.955792489659,54.794111508964,66.418965974074,,,50.348016973033,68.547904803047,74.678440161608,54.206478764314,70.266973096972,64.410215062128
1987-02-01,59.894860887982,47.302674799206,55.215118533473,67.574198332082,,,50.160468135396,68.919118886508,76.043687003134,55.227274135326,70.640677975989,65.132330619397
1987-03-01,60.401073202107,47.840212928966,55.487803264105,67.850131705622,,,50.383477855699,69.388051991249,77.237075313105,54.811034097686,71.046773504037,65.997852810846
1987-04-01,61.324333701668,47.984057701756,56.049778406565,68.186064200355,,,50.744627537595,69.46346089881,78.281526875582,54.801947384645,71.41157143055,66.638734303829
1987-05-01,62.030914554604,48.305065129391,56.4620986304,67.927091163572,,,50.763537884962,69.746282258685,79.675330593957,55.477466174028,71.882710791649,67.444725631397
1987-06-01,62.776563627558,48.605786861179,56.787555534304,66.799394459721,,,50.432334947245,69.47376118996,80.839801590225,56.059766704256,72.295931836365,68.516923450951
1987-07-01,63.456109467963,49.084565779988,57.075956261706,65.762941096309,,,50.203942887787,69.641667391394,81.695066988832,57.109366529394,72.620964407765,69.387165324854
1987-08-01,64.130622681704,49.542592009624,57.380247366171,65.031976789191,,,50.12122157841,69.804720549259,82.220057957436,57.612209398831,73.162915823632,70.25445289451
1987-09-01,64.893627017966,50.2412878147,57.843330978825,65.276941395734,,,50.058281241182,70.567759665368,82.38397594988,58.270367998261,73.748812848762,71.395733637266
1987-10-01,65.771604204534,50.992698180037,58.295686249381,65.511715904132,,,50.146078705334,71.020230134941,83.1564060951,59.006378880118,74.006600741264,72.318104192893
1987-11-01,66.712553785063,51.641130556382,58.901274039166,66.530241983856,,,49.733600569423,71.424939302393,83.677331332263,59.71248845492,74.418068197246,73.15863879252
1987-12-01,67.777701225837,52.229110582827,59.404457132088,66.491946790415,,,49.854955487806,71.458437196466,84.501347807948,61.075387998962,74.579602213844,73.585563003333
1988-01-01,68.776913486226,52.702836164853,60.018417654184,66.696703025193,,,49.550737186134,71.67894585036,84.32173033799,61.972436579441,74.661236504516,74.40191447737
1988-02-01,69.710973249793,53.19983707037,60.490285698618,66.427375529727,,,49.494751812424,71.827968544959,84.491178585526,63.446484922667,74.589350170404,75.287983419035
1988-03-01,70.699179213309,53.866209706254,61.284490173589,66.76148149774,,,49.061297081922,72.345565907163,84.4767247223,64.508605749028,74.477838641761,76.394745590772
